"player_id","player_name","year","team_id","run_value","run_value_fielding","run_value_fielding","run_value_range","run_value_arm","run_value_catching","run_value_framing","run_value_stealing","run_value_blocks","outs","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
457763,"Posey, Buster",2016,137,31.690167984164333,-0.3915908950968683,-0.3915908950968683,-0.3915908950968683,,32.0817588792612,30.701930135525963,1.379828743735239,,3502,3208,294,0,0,0,0,0,0
605113,"Ahmed, Nick",2018,109,26.5569080112325,26.5569080112325,26.5569080112325,26.00882231323399,0.5480856979985139,0,,,,3719,0,0,0,0,3719,0,0,0
621439,"Buxton, Byron",2017,142,26.46334313909664,26.46334313909664,26.46334313909664,24.85548,1.6078631390966416,0,,,,3428,0,0,0,0,0,0,3428,0
518735,"Grandal, Yasmani",2016,119,26.01797646458238,0.30603481887384065,0.30603481887384065,0.30603481887384065,,25.71194164570854,25.71778730715412,-0.005845661445579531,,2920,2863,57,0,0,0,0,0,0
594809,"Eaton, Adam",2016,145,25.299940802316037,25.299940802316037,25.299940802316037,16.515180000000004,8.784760802316033,0,,,,4085,0,0,0,0,0,24,1121,2940
595879,"Báez, Javier",2019,112,24.080926144997314,24.080926144997314,24.080926144997314,23.944667377916335,0.13625876708097706,0,,,,3376,0,0,0,27,3349,0,0,0
455117,"Maldonado, Martín",2017,108,23.935614225952754,-0.6604976949520007,-0.6604976949520007,-0.6604976949520007,,24.596111920904754,20.072779943881446,4.523331977023309,,3442,3439,3,0,0,0,0,0,0
645302,"Robles, Victor",2019,120,23.911999886484708,23.911999886484708,23.911999886484708,19.284930000000003,4.627069886484705,0,,,,3924,0,0,0,0,0,0,3595,329
572191,"Taylor, Michael A.",2021,118,22.69877042696617,22.69877042696617,22.69877042696617,15.464699999999999,7.2340704269661735,0,,,,3558,0,0,0,0,0,0,3558,0
672275,"Bailey, Patrick",2024,137,21.567372415999863,,,,,21.567372415999863,16.142838338249963,5.7885486224208265,-0.36401454467092476,2724,2724,0,0,0,0,0,0,0
571740,"Hamilton, Billy",2016,113,20.988764913961056,20.988764913961056,20.988764913961056,19.680119999999995,1.3086449139610625,0,,,,2826,0,0,0,0,0,0,2826,0
592663,"Realmuto, J.T.",2019,143,20.75832160553952,-0.09528569998926709,-0.09528569998926709,-0.09528569998926709,,20.853607305528786,7.399381965219077,9.658578636152798,3.795646704156911,3479,3416,63,0,0,0,0,0,0
547379,"Pérez, Roberto",2019,114,20.65276957306833,,,,,20.65276957306833,12.03768223794695,2.487323433428572,6.127763901692808,2979,2979,0,0,0,0,0,0,0
686668,"Doyle, Brenton",2023,115,20.347949851635,20.347949851635,20.347949851635,13.79799,6.549959851635002,0,,,,3071,0,0,0,0,0,0,3071,0
570731,"Schoop, Jonathan",2022,116,20.345889823464674,20.345889823464674,20.345889823464674,20.125074009469426,0.22081581399524847,0,,,,3348,0,30,3318,0,0,0,0,0
624431,"Trevino, Jose",2022,147,20.136404152732734,,,,,20.136404152732734,15.208584263778238,1.2415438393160636,3.686276049638432,2461,2461,0,0,0,0,0,0,0
542255,"Inciarte, Ender",2016,144,19.935139048050097,19.935139048050097,19.935139048050097,17.720009999999995,2.2151290480501022,0,,,,3383,0,0,0,0,0,251,3132,0
670032,"Lopez, Nicky",2021,118,19.869769173180423,19.869769173180423,19.869769173180423,19.313828989150664,0.5559401840297588,0,,,,3782,0,0,81,0,3701,0,0,0
456715,"Cain, Lorenzo",2018,158,19.534209976835914,19.534209976835914,19.534209976835914,16.37019,3.1640199768359145,0,,,,3540,0,0,0,0,0,0,3540,0
542255,"Inciarte, Ender",2018,144,19.263156818110698,19.263156818110698,19.263156818110698,19.682010000000002,-0.41885318188930526,0,,,,4023,0,0,0,0,0,0,4023,0
662139,"Varsho, Daulton",2022,109,18.750504403215256,19.71104647854231,19.71104647854231,16.155540000000002,3.555506478542309,-0.9605420753270575,-0.2387190702323822,0.29402694630519755,-1.0158499513998729,3286,525,0,0,0,0,0,1136,1625
596019,"Lindor, Francisco",2019,114,18.23817096199818,18.23817096199818,18.23817096199818,18.06033778556062,0.17783317643756102,0,,,,3587,0,0,0,0,3587,0,0,0
542255,"Inciarte, Ender",2017,144,18.23224243845764,18.23224243845764,18.23224243845764,17.261909999999997,0.9703324384576442,0,,,,4078,0,0,0,0,0,0,4078,0
595281,"Kiermaier, Kevin",2019,139,18.031922222502523,18.031922222502523,18.031922222502523,16.274969999999996,1.7569522225025251,0,,,,3132,0,0,0,0,0,0,3132,0
672275,"Bailey, Patrick",2023,137,17.649591951051576,,,,,17.649591951051576,15.972449877929936,4.031502132546675,-2.354360059425033,2297,2297,0,0,0,0,0,0,0
664056,"Bader, Harrison",2018,138,17.051193851811558,17.051193851811558,17.051193851811558,16.16409,0.8871038518115549,0,,,,2745,0,0,0,0,0,89,1846,810
571740,"Hamilton, Billy",2017,113,16.703237937709538,16.703237937709538,16.703237937709538,10.711979999999999,5.991257937709541,0,,,,3525,0,0,0,0,0,0,3525,0
595978,"Hedges, Austin",2019,135,16.58660660747748,,,,,16.58660660747748,15.295687609987107,-0.13590620266629327,1.426825200156668,2446,2437,0,0,9,0,0,0,0
571448,"Arenado, Nolan",2019,115,16.54150122506596,16.54150122506596,16.54150122506596,16.5572089637917,-0.01570773872573946,0,,,,3959,0,0,0,3959,0,0,0,0
662139,"Varsho, Daulton",2024,141,16.436024965360566,16.436024965360566,16.436024965360566,14.083289999999998,2.352734965360568,0,,,,3256,0,0,0,0,0,1213,2016,27
